dia,valor_total_dia,valor_total_semana,valor_total_mes,media_valor_dia,media_valor_semana,media_valor_mes,mediana_valor_dia,mediana_valor_semana,mediana_valor_mes,desvio_padrao,total_transacoes,volume_total_transicionado
2023-12-16,"14.441,82","97.922,67","410.863,87","601,74","13.988,95","13.253,67","337,45","13.277,11","13.543,30","615,77",24,"14.441,82"
2023-12-17,"12.195,05","92.565,51","410.863,87","508,13","13.223,64","13.253,67","291,15","13.869,80","13.543,30","369,27",24,"12.195,05"
2023-12-18,"13.869,80","92.565,51","410.863,87","513,7","13.223,64","13.253,67","256,51","13.869,80","13.543,30","572,31",27,"13.869,80"
2023-12-19,"16.404,28","92.565,51","410.863,87","585,87","13.223,64","13.253,67","334,03","13.869,80","13.543,30","733,27",28,"16.404,28"
2023-12-20,"7.723,81","92.565,51","410.863,87","321,83","13.223,64","13.253,67","235,38","13.869,80","13.543,30","354,03",24,"7.723,81"
2023-12-21,"14.943,86","92.565,51","410.863,87","533,71","13.223,64","13.253,67","323,31","13.869,80","13.543,30","548,43",28,"14.943,86"
2023-12-22,"13.075,58","92.565,51","410.863,87","484,28","13.223,64","13.253,67","293,93","13.869,80","13.543,30","527,9",27,"13.075,58"
2023-12-23,"14.353,13","92.565,51","410.863,87","574,13","13.223,64","13.253,67","362,37","13.869,80","13.543,30",580,25,"14.353,13"
2023-12-24,"11.487,18","77.527,44","410.863,87","522,14","11.075,35","13.253,67","449,72","11.487,18","13.543,30","441,36",22,"11.487,18"
2023-12-25,"13.543,30","77.527,44","410.863,87","398,33","11.075,35","13.253,67","368,87","11.487,18","13.543,30","301,4",34,"13.543,30"
2023-12-26,"13.011,48","77.527,44","410.863,87","448,67","11.075,35","13.253,67","286,61","11.487,18","13.543,30","444,22",29,"13.011,48"
2023-12-27,"10.674,05","77.527,44","410.863,87","426,96","11.075,35","13.253,67","271,04","11.487,18","13.543,30","389,26",25,"10.674,05"
2023-12-28,"13.722,03","77.527,44","410.863,87","508,22","11.075,35","13.253,67","432,3","11.487,18","13.543,30","431,17",27,"13.722,03"
2023-12-29,"6.131,51","77.527,44","410.863,87","408,77","11.075,35","13.253,67","239,07","11.487,18","13.543,30","488,35",15,"6.131,51"
2023-12-30,"8.957,89","77.527,44","410.863,87","279,93","11.075,35","13.253,67","234,43","11.487,18","13.543,30","275,86",32,"8.957,89"
2023-12-31,"17.002,39","142.661,05","410.863,87","607,23","15.851,23","13.253,67","469,79","15.416,66","13.543,30","576,45",28,"17.002,39"
